id;smiley;text_box;date
1;reboot client-driven;../fake-data/blob/hipster.txt;2021-04-13T09:56:20
2;virtual;../fake-data/blob/hipster.txt;2021-04-13T00:36:05
3;payment Direct;../fake-data/blob/hipster.txt;2021-04-12T16:09:47
4;Pa'anga invoice Representative;../fake-data/blob/hipster.txt;2021-04-13T09:15:56
5;Algerian;../fake-data/blob/hipster.txt;2021-04-13T10:46:41
6;solid panel;../fake-data/blob/hipster.txt;2021-04-12T19:46:37
7;Borders;../fake-data/blob/hipster.txt;2021-04-12T14:54:36
8;green;../fake-data/blob/hipster.txt;2021-04-12T15:17:43
9;Strategist Steel Gorgeous;../fake-data/blob/hipster.txt;2021-04-13T11:16:08
10;navigate;../fake-data/blob/hipster.txt;2021-04-12T18:54:11
