id;name;description;example;moisture_max;moisture_min;light_max;light_min;humidity_max;humidity_min;temperature_max;temperature_min
1;Frozen drive;payment;Vermont Latvian Lead;20916;34187;45680;50700;14710;20971;2345;80231
2;Incredible alarm Borders;violet Granite;iterate Strategist;51956;53215;19536;89052;76023;6059;28506;42849
3;Direct withdrawal;Refined Pine;Credit Colorado functionalities;14728;25248;74373;87354;8638;62968;63856;39738
4;Saudi Pizza interactive;Manager local California;Borders Egyptian;27378;62621;55714;81559;98993;83604;1573;13251
5;Managed Director;killer;input Associate;98945;1526;64791;73493;61917;81860;76723;27750
6;optimize;Rustic to;SQL project;21840;39494;50762;30499;92047;24306;65615;96985
7;Savings IB Synergistic;JBOD;Triple-buffered contextually-based Metal;66009;65390;2699;27080;55225;34420;85545;7748
8;maximize Kids Games;Pound Vanuatu Rubber;microchip;17082;13266;33243;70393;54511;38970;39564;66773
9;copying;website;calculating;31939;9867;50007;36373;12913;4574;11656;76573
10;Functionality Cheese;Lilangeni card Peso;SSL Officer;70079;75059;48778;53481;2558;87602;51601;86892
